Method, Accuracy Rate, Adjusted Rand Score, Adjusted Mutual Info Score, Time
Kmeans,0.676491994,0.552872368,0.696467361,363
PSC,0.627820233,0.414130251,0.566663076,331
Kmeans,0.668304221,0.537171961,0.683011258,432
PSC,0.520651383,0.353482243,0.471087456,556
Kmeans,0.676037118,0.550235776,0.693646857,329
PSC,0.463518923,0.276051413,0.427553564,571
Kmeans,0.664392285,0.530435961,0.678800477,290
PSC,0.580240175,0.397694709,0.54709766,492
Kmeans,0.74827147,0.583632905,0.692305251,339
PSC,0.586699418,0.413455458,0.577197869,318
Kmeans,0.682587336,0.545753806,0.687911639,395
PSC,0.463064047,0.286861162,0.421484757,400
Kmeans,0.665483988,0.531143997,0.679192143,408
PSC,0.573417031,0.430824525,0.57225758,502
Kmeans,0.669032023,0.537115213,0.683446264,342
PSC,0.600709607,0.439340026,0.579502235,566
Kmeans,0.682769287,0.545787053,0.687608948,393
PSC,0.582878457,0.398387801,0.538415263,438
Kmeans,0.758915575,0.606492283,0.710889624,389
PSC,0.502456332,0.31786408,0.457495043,561
PSC,0.67139738,0.464899547,0.585189684,1680
PSC,0.622907569,0.425295844,0.56616508,1632
PSC,0.592521834,0.446969867,0.570589273,1513
PSC,0.648471616,0.499842553,0.636015669,1500
PSC,0.632550946,0.418623438,0.544406959,1549
PSC,0.678584425,0.463381105,0.573562747,1508
PSC,0.690229258,0.477738257,0.593077655,1490
PSC,0.659024745,0.470895926,0.581451911,1645
PSC,0.543759098,0.413404637,0.562850817,1631
PSC,0.533024017,0.374870388,0.528931859,1499
Spectral Clustering,0.801673945,0.685207353,0.813004466,3124
Spectral Clustering,0.801673945,0.685207353,0.813004466,2984
Spectral Clustering,0.801673945,0.685207353,0.813004466,2983
Spectral Clustering,0.801673945,0.685207353,0.813004466,3229
Spectral Clustering,0.801673945,0.685207353,0.813004466,3055
Spectral Clustering,0.801673945,0.685207353,0.813004466,3011
Spectral Clustering,0.801673945,0.685207353,0.813004466,3235
Spectral Clustering,0.801673945,0.685207353,0.813004466,3020
Spectral Clustering,0.801673945,0.685207353,0.813004466,3102
Spectral Clustering,0.801673945,0.685207353,0.813004466,2970
